Instance,Init,Algorithm,Cost,Time_s
N-t69r11xx_250,Random,Transpose_Best,21165097,0.000020
N-t69r11xx_250,Random,Exchange_First,30982032,4.356514
N-t69r11xx_250,Random,Exchange_Best,30474224,0.601325
N-t69r11xx_250,Random,Insert_First,31210160,3.741410
N-t69r11xx_250,Random,Insert_Best,30985808,0.663786
N-t69r11xx_250,CW,Transpose_First,25827396,0.000011
N-t69r11xx_250,CW,Transpose_Best,25873737,0.000023
N-t69r11xx_250,CW,Exchange_First,31021897,3.325821
N-t69r11xx_250,CW,Exchange_Best,30841759,0.571526
N-t69r11xx_250,CW,Insert_First,31206836,2.737368
N-t69r11xx_250,CW,Insert_Best,31200456,0.619866
N-t69r11xx_250,CW,VND_TEI,31134305,4.024931
